Procedure,Review Flag,Cases (Procedure),Annualized Deviation (Procedure),% Outside ±30 Min (Procedure)
ABDOMINOPLASTY,Higher exposure / lower reliability,126,1833,70.6%
"ADRENALECTOMY, LAPAROSCOPIC",Other review contexts,37,488,78.4%
"ALLOGRAFT, SKIN",Other review contexts,202,1832,57.9%
"AMPUTATION, ABOVE KNEE",Higher exposure / lower reliability,59,734,76.3%
"AMPUTATION, BELOW KNEE",Higher exposure / lower reliability,231,2061,59.7%
"AMPUTATION, FINGER",Other review contexts,55,426,47.3%
"AMPUTATION, FOOT",Other review contexts,30,147,26.7%
"AMPUTATION, FOOT, TRANSMETATARSAL",Other review contexts,49,290,38.8%
"AMPUTATION, RAY",Other review contexts,31,154,41.9%
"AMPUTATION, TOE",Other review contexts,199,745,24.6%
ANGIOGRAM,Higher exposure / lower reliability,91,1391,68.1%
"ANGIOGRAM, CEREBRAL",Other review contexts,141,912,35.5%
"ANGIOGRAM, LOWER EXTREMITY, WITH ANGIOPLASTY",Higher exposure / lower reliability,315,4622,74.3%
"ANGIOGRAM, VESSEL, CEREBRAL, WITH EMBOLIZATION",Higher exposure / lower reliability,152,1554,65.1%
"ANGIOGRAM, VISCERAL",Other review contexts,39,403,66.7%
"ANGIOGRAM, WITH ANGIOPLASTY",Higher exposure / lower reliability,141,2085,75.2%
"APPENDECTOMY, LAPAROSCOPIC",Other review contexts,531,2273,24.7%
"APPLICATION, EXTERNAL FIXATION DEVICE, LOWER EXTREMITY",Other review contexts,40,339,42.5%
"APPLICATION, GRAFT, SKIN, SPLIT-THICKNESS",Other review contexts,44,245,36.4%
"ARTHROPLASTY, KNEE",Other review contexts,660,5636,50.9%
"ARTHROPLASTY, SHOULDER",Other review contexts,83,656,55.4%
"ASPIRATION, BONE MARROW",Other review contexts,41,116,22.0%
"AV FISTULOGRAM, WITH ANGIOPLASTY IF INDICATED",Other review contexts,521,4774,51.4%
"BIOPSY, BONE",Other review contexts,89,806,56.2%
"BIOPSY, BRAIN, WITH IMAGING GUIDANCE",Other review contexts,40,355,52.5%
"BIOPSY, LIVER",Other review contexts,45,197,22.2%
"BIOPSY, LYMPH NODE",Other review contexts,33,147,24.2%
"BIOPSY, MUSCLE",Other review contexts,106,249,8.5%
BRACHYTHERAPY,Other review contexts,30,76,10.0%
BRONCHOSCOPY,Higher exposure / lower reliability,88,717,61.4%
"BRONCHOSCOPY, DIAGNOSTIC, WITH LAVAGE IF INDICATED",Other review contexts,73,165,9.6%
"BRONCHOSCOPY, RIGID",Other review contexts,298,2254,53.0%
"BRONCHOSCOPY, W ELECTROMAG NAV, ENDOBRONCH US, BIOPSY + FIDUCIAL MARKER PLACE",Other review contexts,58,331,44.8%
"BRONCHOSCOPY, WITH EBUS AND BIOPSY",Other review contexts,342,1641,35.1%
CABG (CORONARY ARTERY BYPASS GRAFT),Higher exposure / lower reliability,416,4310,68.0%
"CATHETERIZATION, HEART, LEFT, WITH INTERVENTION IF INDICATED",Other review contexts,368,2053,36.1%
CESAREAN SECTION,Higher exposure / lower reliability,44,751,68.2%
"CHOLECYSTECTOMY, LAPAROSCOPIC",Other review contexts,1108,8839,55.2%
