Procedure,Cases (Procedure),% Outside ±30 Min (Procedure),Historical Benchmark (min),Review Context
MAXILLECTOMY,39,92.3%,342,"Prioritize review / high exposure, unreliable"
"LAPAROSCOPY, EXPLORATORY",52,90.4%,191,"Prioritize review / high exposure, unreliable"
"EXCISION, EXTERNAL EAR",39,89.7%,320,"Prioritize review / high exposure, unreliable"
"IRRIGATION AND DEBRIDEMENT, HIP",38,89.5%,159,"Review variability / low exposure, unreliable"
"CRANIECTOMY, FOR NEOPLASM EXCISION",55,89.1%,364,"Prioritize review / high exposure, unreliable"
"MASTECTOMY, SIMPLE",92,88.0%,304,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, FACIAL BONE",49,87.8%,322,"Prioritize review / high exposure, unreliable"
"EXPLORATION, WITH NERVE REPAIR OF HAND OR WRIST",37,86.5%,251,"Review variability / low exposure, unreliable"
"REVISION, RECONSTRUCTION, BREAST",184,86.4%,259,"Prioritize review / high exposure, unreliable"
"GASTRECTOMY, PARTIAL, LAPAROSCOPIC",41,85.4%,159,"Review variability / low exposure, unreliable"
"RECONSTRUCTION, BREAST, BILATERAL",48,85.4%,341,"Prioritize review / high exposure, unreliable"
"INSERTION, IMPLANT, BREAST",74,85.1%,288,"Prioritize review / high exposure, unreliable"
"FREE FLAP, WITH MICROVASCULAR ANASTOMOSIS",79,84.8%,498,"Prioritize review / high exposure, unreliable"
"NEPHROURETERECTOMY, LAPAROSCOPIC",33,84.8%,280,"Review variability / low exposure, unreliable"
"REPAIR, ASCENDING AORTA AND AORTIC ARCH",33,84.8%,516,"Review variability / low exposure, unreliable"
"UNLISTED PROCEDURE, URINARY SYSTEM",52,84.6%,339,"Prioritize review / high exposure, unreliable"
"CRANIOTOMY, WITH NEOPLASM EXCISION",265,84.5%,328,"Prioritize review / high exposure, unreliable"
"REPAIR, AAA, ENDOVASCULAR",96,84.4%,321,"Prioritize review / high exposure, unreliable"
"FUSION, SPINE, THORACIC OR LUMBAR, OR BOTH THORACIC AND LUMBAR, POSTERIOR APPROACH, USING INSTRUMENTATION",87,83.9%,337,"Prioritize review / high exposure, unreliable"
"ENDARTERECTOMY, FEMORAL",36,83.3%,370,"Review variability / low exposure, unreliable"
"LAPAROTOMY, EXPLORATORY, WITH BOWEL RESECTION",132,82.6%,229,"Prioritize review / high exposure, unreliable"
"NEPHRECTOMY, RADICAL",46,82.6%,316,"Prioritize review / high exposure, unreliable"
"FLAP MUSCLE, MYOCUTANEOUS OR FASCIOCUTANEOUS; HEAD/NECK, TRUNK, OR UPPER EXT",40,82.5%,533,"Prioritize review / high exposure, unreliable"
ORIF ANTERIOR PELVIS,33,81.8%,268,"Review variability / low exposure, unreliable"
"EXCISION, LIVER, LAPAROSCOPIC",63,81.0%,381,"Prioritize review / high exposure, unreliable"
"HIPEC - CHEMOTHERAPY, INTRAPERITONEAL, HYPERTHERMIC",42,81.0%,527,"Prioritize review / high exposure, unreliable"
"CRANIOTOMY, FOR SUBOCCIPITAL NEOPLASM",68,80.9%,351,"Prioritize review / high exposure, unreliable"
"EXCISION, LIVER",47,80.9%,438,"Prioritize review / high exposure, unreliable"
